                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 0.3859,                0.74205,                0.97778,                0.91615,                0.90837,                0.94627,                0.89506,                0.32881,                0.38225,                0.92995,               0.002575,               0.002575,               0.002575
                     77,                0.38449,                0.74124,                 0.9783,                0.92086,                0.90589,                0.94653,                0.89543,                 0.3284,                0.38138,                0.92906,               0.002476,               0.002476,               0.002476
                     78,                0.38387,                0.73375,                0.97755,                0.91595,                0.90786,                0.94594,                0.89468,                0.32756,                0.38012,                 0.9282,               0.002377,               0.002377,               0.002377
                     79,                0.38019,                0.73103,                0.97541,                0.91764,                0.90605,                0.94656,                0.89532,                0.32818,                0.38025,                0.92828,               0.002278,               0.002278,               0.002278
                     80,                0.37979,                0.71686,                 0.9744,                0.92144,                0.90771,                0.94697,                0.89618,                0.32681,                0.37832,                0.92782,               0.002179,               0.002179,               0.002179
                     81,                0.38207,                0.71701,                0.97295,                0.91939,                0.90898,                0.94668,                0.89618,                 0.3262,                0.37657,                0.92695,                0.00208,                0.00208,                0.00208
                     82,                0.38047,                0.70984,                0.97493,                 0.9121,                  0.912,                0.94615,                0.89593,                0.32639,                0.37692,                0.92706,               0.001981,               0.001981,               0.001981
                     83,                0.37698,                0.70317,                0.97359,                 0.9148,                0.91193,                0.94655,                0.89598,                  0.326,                0.37546,                0.92686,               0.001882,               0.001882,               0.001882
                     84,                0.38008,                0.69856,                0.97598,                 0.9144,                0.91317,                0.94693,                0.89637,                0.32597,                0.37345,                0.92706,               0.001783,               0.001783,               0.001783
                     85,                 0.3742,                 0.6924,                0.97002,                0.91721,                0.90981,                0.94714,                0.89731,                0.32622,                0.37338,                0.92716,               0.001684,               0.001684,               0.001684
                     86,                0.37398,                0.68914,                 0.9715,                0.91664,                0.91338,                0.94803,                0.89785,                0.32606,                0.37261,                0.92672,               0.001585,               0.001585,               0.001585
                     87,                0.37266,                0.67483,                0.97365,                0.91571,                0.91551,                0.94826,                0.89822,                0.32555,                0.37184,                0.92654,               0.001486,               0.001486,               0.001486
                     88,                0.37212,                0.67073,                0.97132,                 0.9141,                0.91757,                0.94856,                 0.8985,                0.32551,                0.37135,                 0.9262,               0.001387,               0.001387,               0.001387
                     89,                0.37361,                0.66416,                0.97168,                0.91964,                0.91417,                0.94856,                0.89874,                0.32532,                0.37097,                0.92596,               0.001288,               0.001288,               0.001288
                     90,                0.36691,                0.65664,                0.96859,                0.91774,                0.91486,                0.94812,                 0.8985,                0.32464,                0.37038,                0.92561,               0.001189,               0.001189,               0.001189
                     91,                0.28447,                0.29658,                0.93069,                0.91453,                0.91654,                0.94772,                0.89817,                0.32475,                0.37225,                  0.926,                0.00109,                0.00109,                0.00109
                     92,                 0.2799,                0.27217,                0.92555,                0.92442,                0.90463,                0.94737,                 0.8977,                0.32445,                0.37227,                0.92547,               0.000991,               0.000991,               0.000991
                     93,                0.27734,                0.26709,                0.92419,                0.92082,                0.90833,                0.94785,                0.89847,                0.32359,                0.37189,                0.92467,               0.000892,               0.000892,               0.000892
                     94,                0.27398,                 0.2537,                0.92138,                0.91805,                0.91017,                0.94723,                 0.8983,                0.32357,                0.37152,                0.92435,               0.000793,               0.000793,               0.000793
                     95,                0.27355,                0.24314,                0.92107,                0.91696,                0.91179,                 0.9473,                0.89836,                0.32311,                0.37153,                0.92388,               0.000694,               0.000694,               0.000694
                     96,                0.27184,                0.23928,                0.92012,                0.91505,                0.91483,                0.94764,                0.89835,                0.32317,                0.37106,                0.92382,               0.000595,               0.000595,               0.000595
                     97,                0.26764,                0.23115,                0.91646,                0.91211,                0.91664,                0.94731,                0.89844,                0.32254,                 0.3708,                0.92309,               0.000496,               0.000496,               0.000496
                     98,                0.26759,                0.22793,                0.91747,                0.91658,                 0.9128,                0.94726,                0.89862,                0.32243,                0.37123,                0.92285,               0.000397,               0.000397,               0.000397
                     99,                0.26519,                 0.2222,                0.91797,                0.92095,                0.90759,                0.94724,                 0.8987,                0.32232,                0.37063,                0.92277,               0.000298,               0.000298,               0.000298
                    100,                0.26273,                0.21806,                0.91409,                0.92094,                0.90746,                0.94719,                 0.8987,                0.32221,                0.37117,                0.92262,               0.000199,               0.000199,               0.000199
